tanggal,jenis,nama,kategori,nominal,Nama Toko
2023-01-02,pemasukan,Penjualan Soto Ayam,penjualan,72000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,60000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Soto Ayam,penjualan,48000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,7000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Pecel Lele,penjualan,104000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Mie Ayam,penjualan,30000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Bakso,penjualan,88000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Pecel Lele,penjualan,65000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Mie Ayam,penjualan,20000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,15000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,14000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,117000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,120000,Warung bu sholeh
2023-01-02,pemasukan,Penjualan Pecel Lele,penjualan,91000,Warung bu sholeh
2023-01-02,pengeluaran,Beli Bahan Baku,bahan baku,527866,Warung bu sholeh
2023-01-02,pengeluaran,Pembelian Gas,bahan bakar,881022,Warung bu sholeh
2023-01-02,pengeluaran,Gaji Karyawan,gaji,2830190,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,15000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,15000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Jus Alpukat,penjualan,65000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,49000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Es Teh,penjualan,40000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,105000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Es Teh,penjualan,45000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Soto Ayam,penjualan,108000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Nasi Goreng,penjualan,36000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,135000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,21000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Mie Ayam,penjualan,20000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,70000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,45000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Es Teh,penjualan,40000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Bakso,penjualan,88000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Mie Ayam,penjualan,10000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Nasi Goreng,penjualan,48000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Es Teh,penjualan,25000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,35000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,28000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,63000,Warung bu sholeh
2023-01-03,pemasukan,Penjualan Es Teh,penjualan,5000,Warung bu sholeh
2023-01-03,pengeluaran,Beli Bahan Baku,bahan baku,348083,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,91000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,26000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Kopi Hitam,penjualan,21000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,91000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,13000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Ayam Bakar,penjualan,60000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,52000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Kopi Hitam,penjualan,63000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,104000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Ayam Bakar,penjualan,75000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Mie Ayam,penjualan,80000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Soto Ayam,penjualan,96000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,78000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,117000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,26000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,104000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Ayam Bakar,penjualan,150000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,26000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Bakso,penjualan,88000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Bakso,penjualan,88000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Es Teh,penjualan,30000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Kopi Hitam,penjualan,35000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Mie Ayam,penjualan,80000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Pecel Lele,penjualan,52000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Mie Ayam,penjualan,90000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Jus Alpukat,penjualan,91000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Nasi Uduk,penjualan,80000,Warung bu sholeh
2023-01-04,pemasukan,Penjualan Nasi Goreng,penjualan,108000,Warung bu sholeh
2023-01-04,pengeluaran,Beli Bahan Baku,bahan baku,697242,Warung bu sholeh
2023-01-04,pengeluaran,Transportasi,logistik,39740,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Soto Ayam,penjualan,108000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Jus Alpukat,penjualan,26000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Bakso,penjualan,33000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Ayam Bakar,penjualan,135000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Nasi Uduk,penjualan,20000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Bakso,penjualan,55000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Ayam Bakar,penjualan,15000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Soto Ayam,penjualan,60000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Mie Ayam,penjualan,10000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Jus Alpukat,penjualan,117000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Kopi Hitam,penjualan,42000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Ayam Bakar,penjualan,60000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Ayam Bakar,penjualan,135000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Pecel Lele,penjualan,91000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Pecel Lele,penjualan,130000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Es Teh,penjualan,50000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Ayam Bakar,penjualan,90000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Ayam Bakar,penjualan,120000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Jus Alpukat,penjualan,13000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Es Teh,penjualan,50000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Jus Alpukat,penjualan,39000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Jus Alpukat,penjualan,117000,Warung bu sholeh
2023-01-05,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2023-01-05,pengeluaran,Beli Bahan Baku,bahan baku,734313,Warung bu sholeh
2023-01-05,pengeluaran,Perawatan Peralatan,perawatan,737495,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Pecel Lele,penjualan,91000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Nasi Uduk,penjualan,30000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Bakso,penjualan,33000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Ayam Bakar,penjualan,45000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Soto Ayam,penjualan,108000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Nasi Goreng,penjualan,84000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Nasi Goreng,penjualan,36000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Ayam Bakar,penjualan,150000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Nasi Goreng,penjualan,24000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Ayam Bakar,penjualan,60000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Kopi Hitam,penjualan,56000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Es Teh,penjualan,30000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Pecel Lele,penjualan,39000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Pecel Lele,penjualan,91000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Mie Ayam,penjualan,50000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Kopi Hitam,penjualan,14000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Ayam Bakar,penjualan,150000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Mie Ayam,penjualan,60000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Soto Ayam,penjualan,36000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Kopi Hitam,penjualan,70000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Jus Alpukat,penjualan,65000,Warung bu sholeh
2023-01-06,pemasukan,Penjualan Nasi Uduk,penjualan,30000,Warung bu sholeh
2023-01-06,pengeluaran,Beli Bahan Baku,bahan baku,509762,Warung bu sholeh
2023-01-06,pengeluaran,Transportasi,logistik,51303,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Nasi Goreng,penjualan,120000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Ayam Bakar,penjualan,75000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Mie Ayam,penjualan,70000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Soto Ayam,penjualan,60000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Soto Ayam,penjualan,108000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Soto Ayam,penjualan,72000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Soto Ayam,penjualan,24000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Pecel Lele,penjualan,104000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Kopi Hitam,penjualan,49000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Kopi Hitam,penjualan,28000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Pecel Lele,penjualan,65000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Bakso,penjualan,11000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Jus Alpukat,penjualan,104000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Nasi Goreng,penjualan,108000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Es Teh,penjualan,40000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Jus Alpukat,penjualan,26000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Soto Ayam,penjualan,48000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Nasi Uduk,penjualan,10000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Mie Ayam,penjualan,80000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Kopi Hitam,penjualan,14000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Bakso,penjualan,33000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Jus Alpukat,penjualan,78000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Pecel Lele,penjualan,39000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Kopi Hitam,penjualan,14000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Nasi Goreng,penjualan,72000,Warung bu sholeh
2023-01-07,pemasukan,Penjualan Soto Ayam,penjualan,108000,Warung bu sholeh
2023-01-07,pengeluaran,Beli Bahan Baku,bahan baku,616230,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Soto Ayam,penjualan,120000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Soto Ayam,penjualan,24000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Goreng,penjualan,120000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Soto Ayam,penjualan,48000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Es Teh,penjualan,30000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Uduk,penjualan,80000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Goreng,penjualan,96000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Bakso,penjualan,33000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Goreng,penjualan,108000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Goreng,penjualan,72000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Uduk,penjualan,50000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Bakso,penjualan,11000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Uduk,penjualan,30000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Mie Ayam,penjualan,90000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Soto Ayam,penjualan,120000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Kopi Hitam,penjualan,21000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Kopi Hitam,penjualan,42000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Bakso,penjualan,66000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Goreng,penjualan,120000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Kopi Hitam,penjualan,63000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Es Teh,penjualan,20000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Goreng,penjualan,120000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Es Teh,penjualan,20000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Mie Ayam,penjualan,100000,Warung bu sholeh
2023-01-08,pemasukan,Penjualan Nasi Uduk,penjualan,60000,Warung bu sholeh
2023-01-08,pengeluaran,Beli Bahan Baku,bahan baku,661850,Warung bu sholeh
2023-01-08,pengeluaran,Transportasi,logistik,70378,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Jus Alpukat,penjualan,13000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Soto Ayam,penjualan,60000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Nasi Uduk,penjualan,60000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Ayam Bakar,penjualan,60000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Soto Ayam,penjualan,12000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Kopi Hitam,penjualan,63000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Nasi Goreng,penjualan,36000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Es Teh,penjualan,50000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Soto Ayam,penjualan,108000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Es Teh,penjualan,15000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Ayam Bakar,penjualan,150000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Mie Ayam,penjualan,60000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Kopi Hitam,penjualan,14000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Ayam Bakar,penjualan,30000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Nasi Goreng,penjualan,36000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Jus Alpukat,penjualan,104000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Nasi Uduk,penjualan,90000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Bakso,penjualan,66000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Soto Ayam,penjualan,120000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Mie Ayam,penjualan,80000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Jus Alpukat,penjualan,117000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Bakso,penjualan,44000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Jus Alpukat,penjualan,39000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Jus Alpukat,penjualan,65000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Ayam Bakar,penjualan,45000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Kopi Hitam,penjualan,63000,Warung bu sholeh
2023-01-09,pemasukan,Penjualan Mie Ayam,penjualan,70000,Warung bu sholeh
2023-01-09,pengeluaran,Beli Bahan Baku,bahan baku,444446,Warung bu sholeh
2023-01-09,pengeluaran,Gaji Karyawan,gaji,1031894,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Ayam Bakar,penjualan,75000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Ayam Bakar,penjualan,150000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Bakso,penjualan,44000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Es Teh,penjualan,15000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Uduk,penjualan,80000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Es Teh,penjualan,25000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Goreng,penjualan,120000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Bakso,penjualan,66000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Goreng,penjualan,60000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Ayam Bakar,penjualan,75000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Mie Ayam,penjualan,40000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Es Teh,penjualan,35000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Ayam Bakar,penjualan,120000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Goreng,penjualan,96000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Goreng,penjualan,60000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Uduk,penjualan,80000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Es Teh,penjualan,30000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Uduk,penjualan,70000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Goreng,penjualan,12000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Kopi Hitam,penjualan,28000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Bakso,penjualan,77000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Goreng,penjualan,12000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Nasi Uduk,penjualan,20000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Es Teh,penjualan,45000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Pecel Lele,penjualan,65000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Bakso,penjualan,66000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Ayam Bakar,penjualan,75000,Warung bu sholeh
2023-01-10,pemasukan,Penjualan Soto Ayam,penjualan,96000,Warung bu sholeh
2023-01-10,pengeluaran,Beli Bahan Baku,bahan baku,365809,Warung bu sholeh
2023-01-10,pengeluaran,Pembelian Gas,bahan bakar,857847,Warung bu sholeh
2023-01-10,pengeluaran,Pembelian Alat Masak,inventaris,2129902,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Bakso,penjualan,11000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Pecel Lele,penjualan,91000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Nasi Uduk,penjualan,100000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Nasi Uduk,penjualan,70000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Mie Ayam,penjualan,100000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Soto Ayam,penjualan,84000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Nasi Goreng,penjualan,60000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Ayam Bakar,penjualan,75000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Kopi Hitam,penjualan,70000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Bakso,penjualan,99000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Kopi Hitam,penjualan,49000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Nasi Goreng,penjualan,36000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Soto Ayam,penjualan,96000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Es Teh,penjualan,50000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Nasi Uduk,penjualan,30000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Bakso,penjualan,88000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Pecel Lele,penjualan,65000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Es Teh,penjualan,10000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Ayam Bakar,penjualan,90000,Warung bu sholeh
2023-01-11,pemasukan,Penjualan Nasi Uduk,penjualan,60000,Warung bu sholeh
